Name,total_yield,chip_color,tuber_eye_depth,tuber_shape,tuber_size,tuber_length,tuber_width,sucrose,log10_glucose,log10_fructose,malic_acid,vine_maturity_95d,vine_maturity_120d,Grp1,Grp2,Grp3,Grp4
A97066-42,13.1,2.35,3.03,4.71,4.63,103.99,58.47,9.87,-0.478,-0.093,2.15,6,5,0,1,0,0
ACBrador,15.56,2.63,4.37,3.59,6.38,99.8,69.26,5.61,0.33,0.337,6.77,6.25,4.25,1,0,0,0
AdirondackBlue,11.77,2.82,3.76,4.07,4.63,95.75,64.64,6.01,0.328,0.594,4.68,2.5,1,1,0,0,0
AF2291-10,13.43,1.5,4.5,2.81,6.5,89.1,78.52,6.83,-0.517,-0.063,1.83,6,5,0.003,0,0.997,0
AF2376-5,12.58,1.83,4.5,2.81,6.63,80.06,76.03,6.63,-0.467,-0.099,2.26,5.5,4.5,1,0,0,0
AF2574-1,15.04,3.26,3.97,3.73,5.88,93.56,73.52,5.82,0.204,0.492,3.34,4.5,3.25,0.999,0,0.001,0
AllBlue,12.56,2.46,5.17,4.73,2.88,103.74,49.38,7.34,-0.154,0.143,5.84,6.25,4,1,0,0,0
AlpineRusset,12.29,2.74,3.03,4.85,5.5,114.77,61.22,9.32,0.143,0.412,3.08,6,5.5,0,1,0,0
Alturas,11.94,2.39,3.03,4.46,4.63,99.34,60.96,6.65,-0.003,0.069,4.66,6.75,5.75,0.027,0.973,0,0
Andover,11.94,1.84,3.97,2.54,6.84,80.88,70.71,6.28,-0.119,0.155,1.76,3,1.75,0,0,1,0
AO96141-3,14.09,2.48,3.57,5,5.13,143.04,55.55,8.27,-0.023,0.071,3.89,5.5,4.25,0,1,0,0
AO96160-3,11.53,2.54,3.03,5,4.88,117.35,57.73,6.55,0.012,0.161,1.68,4,3.25,0,1,0,0
AO96164-1,13.05,2.52,3.03,5,5.88,130.89,63.6,7.06,-0.108,0.085,2.84,5,4.5,0,1,0,0
Atlantic,12.51,1.63,3.97,2.41,6.63,77.4,72.3,5.01,-0.842,-0.405,1.9,4.5,1.75,0,0,1,0
AWN86514-2,11.64,1.96,2.5,4.46,4.25,99.67,60.09,9.14,-0.2,-0.082,2.77,8,6.5,0.999,0.001,0,0
B1829-5,12.72,1.84,3.7,2.68,4.88,79.71,70.84,5.86,-0.728,-0.116,1.61,4,1,0.999,0,0.001,0
BannockRusset,14.2,2.57,3.03,4.86,5.5,113.34,61.09,6.96,-0.507,-0.299,2.66,6.5,5,0,1,0,0
BeaconChipper,13.55,1.59,5.03,2.54,7.75,90.8,81.01,6.08,-0.827,-0.43,2.05,5,3.5,0,0,1,0
