id,vine.maturity,env
AF5033-13,4.174197684,Hancock15
AF5153-11,7.674197684,Hancock15
AF5281-4,4.174197684,Hancock15
AF5392-8,6.007531017,Hancock15
AF5393-1,8.007531017,Hancock15
AF5429-3,6.232770634,Hancock15
AF5432-5,6.174197684,Hancock15
AF5445-2,6.007531017,Hancock15
AF5446-11,8.174197684,Hancock15
AF5450-7,8.007531017,Hancock15
AF5484-3,7.007531017,Hancock15
AF5583-3,7.007531017,Hancock15
AFW5039-1,7.174197684,Hancock15
AFW5484-6,6.786817492,Hancock15
AFW5550-19,5.174197684,Hancock15
AFW5563-6,6.674197684,Hancock15
AOR09034-3,5.007531017,Hancock15
Atlantic,6.340864351,Hancock15
B2904-2,4.674197684,Hancock15
B2981-5,3.674197684,Hancock15
B3000-1,4.174197684,Hancock15
B3005-7,3.174197684,Hancock15
B3012-1,2.007531017,Hancock15
BNC366-1,5.674197684,Hancock15
BNC371-2,8.174197684,Hancock15
CO07070-10W,2.674197684,Hancock15
CO07070-13W,3.674197684,Hancock15
Hodag,7.286817492,Hancock15
Lamoka,6.340864351,Hancock15
Mackinaw,6.674197684,Hancock15
MSW168-2,9.683249867,Hancock15
MSX240-3,7.007531017,Hancock15
MSZ222-19,7.007531017,Hancock15
NC252-49,9.007531017,Hancock15
NC317-12,8.674197684,Hancock15
NC371-3,6.007531017,Hancock15
NY154,7.674197684,Hancock15
NY162,7.674197684,Hancock15
NY163,7.007531017,Hancock15
NYK27-3,7.174197684,Hancock15
NYK28-18,5.674197684,Hancock15
NYL17-3,6.007531017,Hancock15
NYL2-12,4.007531017,Hancock15
NYL8-12,9.007531017,Hancock15
Pike,7.674197684,Hancock15
Snowden,5.340864351,Hancock15
W10128-1,5.674197684,Hancock15
W10636-18,5.674197684,Hancock15
W10637-20,5.174197684,Hancock15
W10639-4,9.863494809,Hancock15
W10645-11,5.286817492,Hancock15
W10645-7,5.674197684,Hancock15
W10653-14,5.286817492,Hancock15
W10653-18,5.674197684,Hancock15
W10655-36,6.174197684,Hancock15
W10655-43,4.174197684,Hancock15
W10658-7,4.674197684,Hancock15
W10659-16,5.674197684,Hancock15
W10659-8,6.174197684,Hancock15
W12074-28,6.683249867,Hancock15
W12074-29,7.683249867,Hancock15
W12075-1,4.683249867,Hancock15
W12078-21,6.683249867,Hancock15
W12078-76,8.683249867,Hancock15
W12078-77,6.683249867,Hancock15
W12078-80,7.683249867,Hancock15
W12079-25,7.683249867,Hancock15
W12082-5,5.908489484,Hancock15
W12NYN25-1,7.683249867,Hancock15
W12NYN25-2,7.683249867,Hancock15
W12NYN39-2,6.683249867,Hancock15
W12NYN40-3,8.683249867,Hancock15
W8822-1,5.674197684,Hancock15
W9891-1,5.674197684,Hancock15
W9905-3,7.174197684,Hancock15
W9905-7,6.674197684,Hancock15
W9968-5,6.674197684,Hancock15
AC10239-7W,5.878444945,Hancock16
AF5393-1,3.983137962,Hancock16
AF5432-5,3.983137962,Hancock16
AF5445-2,3.483137962,Hancock16
AF5450-7,4.483137962,Hancock16
AF5484-3,3.983137962,Hancock16
AF5563-2,4.878444945,Hancock16
AF5583-3,5.535587802,Hancock16
AF5639-6,4.878444945,Hancock16
AF5648-3,5.878444945,Hancock16
AF5665-2,4.878444945,Hancock16
AF5677-6,4.878444945,Hancock16
AF5682-3,4.878444945,Hancock16
AF5682-5,1.878444945,Hancock16
AFC5551-4W,0.878444945,Hancock16
AFC5563-5W,3.878444945,Hancock16
AOR09034-3,2.983137962,Hancock16
AOR11484-2,1.878444945,Hancock16
Atlantic,3.309141576,Hancock16
B2904-2,4.983137962,Hancock16
B3012-1,1.878444945,Hancock16
B3153-3,3.878444945,Hancock16
B3155-3,3.983344625,Hancock16
B3159-7,3.878444945,Hancock16
B3165-11,0.878444945,Hancock16
B3172-12,3.878444945,Hancock16
B3172-3,0.878444945,Hancock16
B3172-8,3.088244305,Hancock16
BNC469-12,3.878444945,Hancock16
BNC469-16,3.878444945,Hancock16
BNC469-17,0.878444945,Hancock16
BNC469-7,5.878444945,Hancock16
BNC472-3,1.878444945,Hancock16
CO10030-3W,5.878444945,Hancock16
CO10073-7W,1.878444945,Hancock16
CO10076-4W,4.878444945,Hancock16
Hodag,5.604241896,Hancock16
Lamoka,4.951101448,Hancock16
MSV033-1,6.483137962,Hancock16
MSV434-04,3.088244305,Hancock16
MSV507-001,4.878444945,Hancock16
MSV507-003,3.878444945,Hancock16
MSV507-007,4.878444945,Hancock16
MSV507-073,3.878444945,Hancock16
MSV507-198,4.878444945,Hancock16
MSW324-1,6.088244305,Hancock16
MSW394-1,6.878444945,Hancock16
MSZ020-08,3.878444945,Hancock16
MSZ022-19,6.983344625,Hancock16
MSZ045-09,8.878444945,Hancock16
MSZ052-31,4.878444945,Hancock16
MSZ062-10,4.878444945,Hancock16
MSZ096-03,5.878444945,Hancock16
MSZ101-06,6.878444945,Hancock16
MSZ101-07,5.983344625,Hancock16
MSZ219-1,5.983137962,Hancock16
MSZ219-13,5.878444945,Hancock16
MSZ219-14,6.035587802,Hancock16
MSZ222-19,4.983137962,Hancock16
MSZ242-09,3.878444945,Hancock16
NC252-49,5.983137962,Hancock16
NC371-3,4.483137962,Hancock16
NC470-3,6.878444945,Hancock16
NC472-1,7.878444945,Hancock16
NC473-2,7.878444945,Hancock16
NCB3171-7,3.878444945,Hancock16
ND113307C-3,3.878444945,Hancock16
Nicolet,5.983137962,Hancock16
NY154,5.535587802,Hancock16
NY162,3.983137962,Hancock16
NY163,3.483137962,Hancock16
NY165,4.878444945,Hancock16
NYK27-3,5.035587802,Hancock16
NYL17-3,2.088037642,Hancock16
NYL2-12,1.983137962,Hancock16
NYL8-12,5.035587802,Hancock16
NYM7-4,4.878444945,Hancock16
NYM7-6,5.878444945,Hancock16
OR12479-5,5.878444945,Hancock16
OR9256-2,3.983137962,Hancock16
Pike,4.916815734,Hancock16
Pinnacle,5.192937322,Hancock16
Snowden,5.341302088,Hancock16
W10129-4,2.983137962,Hancock16
W10659-16,3.983137962,Hancock16
W10659-8,4.140487482,Hancock16
W12074-28,4.535587802,Hancock16
W12074-29,4.035587802,Hancock16
W12075-1,1.140487482,Hancock16
W12078-21,4.140487482,Hancock16
W12078-76,4.035587802,Hancock16
W12078-77,4.297837002,Hancock16
W12078-80,5.088037642,Hancock16
W12079-25,4.140487482,Hancock16
W12082-5,4.297837002,Hancock16
W12NYN25-1,2.140487482,Hancock16
W12NYN25-2,4.483137962,Hancock16
W12NYN39-2,4.745387162,Hancock16
W12NYN40-3,4.140487482,Hancock16
W13057-13,3.878444945,Hancock16
W13057-15,5.983344625,Hancock16
W13057-18,0.878444945,Hancock16
W13057-2,4.193143985,Hancock16
W13057-3,1.878444945,Hancock16
W13057-6,2.878444945,Hancock16
W13057-7,2.088244305,Hancock16
W13057-8,4.878444945,Hancock16
W13058-11,4.983344625,Hancock16
W13058-18,3.983344625,Hancock16
W13058-19,2.878444945,Hancock16
W13058-2,4.878444945,Hancock16
W13058-21,3.878444945,Hancock16
W13060-1,2.088244305,Hancock16
W13062-7,0.878444945,Hancock16
W13062-8,4.983344625,Hancock16
W13063-2,3.878444945,Hancock16
W13065-14,0.878444945,Hancock16
W13065-16,2.878444945,Hancock16
W13065-22,3.878444945,Hancock16
W13065-4,5.878444945,Hancock16
W13066-4,3.878444945,Hancock16
W13068-10,1.878444945,Hancock16
W13069-5,3.878444945,Hancock16
W13070-10,5.193143985,Hancock16
W13070-11,2.878444945,Hancock16
W13070-14,1.878444945,Hancock16
W13070-21,6.088244305,Hancock16
W13070-6,2.088244305,Hancock16
W13070-9,3.878444945,Hancock16
W13071-3,0.983344625,Hancock16
W13071-4,0.878444945,Hancock16
W13071-5,5.088244305,Hancock16
W13071-8,1.878444945,Hancock16
W13074-3,0.878444945,Hancock16
W13078-2,3.878444945,Hancock16
W13078-5,3.983344625,Hancock16
W13079-2,1.878444945,Hancock16
W13080-2,4.878444945,Hancock16
W13082-2,0.878444945,Hancock16
W13083-3,6.088244305,Hancock16
W13086-1,2.878444945,Hancock16
W13091-8,4.983344625,Hancock16
W13095-3,3.878444945,Hancock16
W13095-4,1.878444945,Hancock16
W13096-1,4.298043665,Hancock16
W13NYP102-7,5.878444945,Hancock16
W13NYP102-8,5.878444945,Hancock16
W13NYP106-1,5.878444945,Hancock16
W13NYP106-2,0.878444945,Hancock16
W13NYP106-5,3.878444945,Hancock16
W13NYP111-1,6.878444945,Hancock16
W13NYP111-4,3.878444945,Hancock16
W13NYP111-5,5.878444945,Hancock16
W13NYP112-1,3.878444945,Hancock16
W13NYP114-5,4.878444945,Hancock16
W13NYP117-2,3.983344625,Hancock16
W13NYP12-2,4.878444945,Hancock16
W13NYP18-1,2.878444945,Hancock16
W13NYP19-10,4.983344625,Hancock16
W13NYP19-2,2.983344625,Hancock16
W13NYP19-3,1.878444945,Hancock16
W13NYP21-1,3.878444945,Hancock16
W8822-1,4.640487482,Hancock16
W9891-1,5.588037642,Hancock16
W9905-3,4.983137962,Hancock16
W9968-5,5.483137962,Hancock16
WAF12065-8,5.878444945,Hancock16
AF5429-3,4.303192357,Hancock17
AF5484-3,5.803192357,Hancock17
AF5563-2,4.303192357,Hancock17
AF5563-5,4.335588417,Hancock17
AF5583-3,4.839585224,Hancock17
AF5648-3,4.803192357,Hancock17
AF5682-5,1.784995923,Hancock17
AF5801-1,6.234403429,Hancock17
AF5819-6,5.371981285,Hancock17
AF5825-3,4.270796296,Hancock17
AF5846-3,1.371981285,Hancock17
AF5846-4,4.270796296,Hancock17
AFC5687-2W,6.307189164,Hancock17
AOR09034-3,2.803192357,Hancock17
AOR11484-2,1.284995923,Hancock17
Atlantic,4.415323313,Hancock17
B2904-2,2.784995923,Hancock17
B3174-4,1.371981285,Hancock17
B3181-7,1.270796296,Hancock17
B3182-1,2.371981285,Hancock17
B3183-6,3.198010561,Hancock17
B3194-1,3.335588417,Hancock17
BNC537-5,1.335588417,Hancock17
BNC541-5,1.307189164,Hancock17
BNC544-2,1.153624079,Hancock17
BNC549-1,1.270796296,Hancock17
CO10073-7W,2.303192357,Hancock17
CO10076-4W,4.303192357,Hancock17
CO11023-2W,4.371981285,Hancock17
CO11023-9W,5.307189164,Hancock17
CO11037-5W,3.335588417,Hancock17
CO11048-8W,5.307189164,Hancock17
CO11074-1W,3.371981285,Hancock17
CO11087-1W,5.270796296,Hancock17
Hodag,4.986910568,Hancock17
Lamoka,3.986209019,Hancock17
MSAFB610-4,6.371981285,Hancock17
MSAFB611-5,4.270796296,Hancock17
MSAFB614-4,6.335588417,Hancock17
MSAFB614-6,6.198010561,Hancock17
MSAFB618-2,5.335588417,Hancock17
MSAFB618-3,6.161617694,Hancock17
MSAFB626-2,6.371981285,Hancock17
MSAFB626-5,4.307189164,Hancock17
MSAFB626-8,6.371981285,Hancock17
MSAFB635-3,4.307189164,Hancock17
MST437-1,6.307189164,Hancock17
MSV505-2,1.371981285,Hancock17
MSV507-001,5.29919555,Hancock17
MSV507-003,4.234403429,Hancock17
MSV507-012,5.371981285,Hancock17
